"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"1","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000191204588910134,0.00318857215738792,-0.654036928619938,-1.8679488411726,0,183,"Mrps15, Ndufa9, Ndufb6, Idh2, Ndufab1, Sdhd, Ndufb3, Sdhb, Ndufs8, Cox5b, Timm50, Hspa9, Mrpl11, Ndufs6, Sucla2, Casp7, Got2, Ndufa8, Timm17a, Uqcrc2, Uqcrfs1, Hccs, Ndufc2, Ndufs7, Ndufv1, Cox5a, Hsd17b10, Htra2, Ech1, Polr2f, Ndufs4, Slc25a5, Ndufv2, Atp6v1d, Ldha, Atp6v1g1, Cox7b, Uqcrb, Phyh, Uqcrq, Acaa2, Cox6b1, Atp5pb, Uqcrc1, Aco2, Ndufa2, Ndufs1, Gpx4, Bax, Ndufc1, Sdhc, Mgst3, Ndufs2, Vdac2, Ndufb8, Cox8a, Timm13, Mdh2, Slc25a20, Grpel1, Cox7c, Timm10, Ndufa1, Mrpl35, Ndufb5, Ndufa5, Cox7a2, Fdx1, Atp1b1, Etfa, Mrps22, Ndufa6, Slc25a12, Mrps12, Oxa1l, Iscu, Acat1, Mrpl34, Uqcr10, Cyc1, Cyb5a, Eci1, Ndufa7, Cox11, Tomm22, Uqcr11, Atp6v0e, Gpi1, Idh3b, Cox10, Ndufs3, Alas1, Suclg1, Vdac3, Vdac1, Gm10053, Ndufa3, Mtrf1, Cox6c, Abcb7, Mpc1, Rhot2, Fh1, Mrpl15, Decr1, Ndufb7, Lrpprc, Maob, Hadhb, Mrps30","CombovsBMS","Ribo_vs_DMSO"
"2","HALLMARK_MYC_TARGETS_V1",0.000191314329443275,0.00318857215738792,-0.728006845461896,-2.08167973831088,0,186,"Nop16, Hnrnpa1, Mcm2, Psma6, Tyms, Pcna, Prps2, Srm, Ndufab1, Dut, Mcm4, Hdgf, Pold2, Hnrnpd, Prdx4, Apex1, Psmd14, Cdc45, Rfc4, Lsm2, Ranbp1, Mcm6, Fbl, Exosc7, Rpl14, Pa2g4, Snrpb2, Psma1, Eif2s1, Snrpa1, Got2, Cdk2, Snrpd3, Mrpl23, Rrp9, Psmb2, Mcm5, Cox5a, Ran, Cnbp, Rps6, Rps3, Mcm7, Eif2s2, Rpl6, Cct4, Eif3d, Pcbp1, C1qbp, Srsf3, Tufm, Ldha, H2az1, Ppia, Psma7, Tra2b, Rpl18, Snrpd1, Hnrnpr, Cct5, Rpl22, Rack1, Psma4, Ruvbl2, Nap1l1, Nop56, Clns1a, Rrm1, Dek, Ssb, Psmb3, Tfdp1, Usp1, Psmc6, Etf1, Psma2, Eef1b2, Psmc4, Pgk1, Npm1, Rsl1d1, Snrpd2, Erh, Eif4a1, Hnrnpa2b1, Tcp1, Cdc20, Rps5, Cyc1, Cops5, Cct2, Ccna2, Cct3, Xrcc6, Gnl3, Hspd1, Cct7, Cbx3, Dhx15, Eif4e, Cdk4, Ube2e1, Vdac3, Srsf2, Vdac1, Snrpg, Ywhae, Nhp2, Nolc1, Hspe1, Tardbp","CombovsBMS","Ribo_vs_DMSO"
"3","HALLMARK_E2F_TARGETS",0.000191094974202178,0.00318857215738792,-0.777938250475642,-2.23256630204736,0,198,"Dscc1, Ung, Lig1, Tk1, E2f8, Mcm3, Rrm2, Chek1, Mcm2, Wee1, Pold3, Pcna, Cdkn2c, Pold1, Slbp, Dut, Cdk1, Mcm4, Ak2, Atad2, Mybl2, Rfc3, Pop7, Pold2, Hells, Snrpb, Hnrnpd, Prdx4, Tipin, Pole4, Mxd3, Ddx39a, Paics, Lbr, Ranbp1, Rpa2, Psmc3ip, Cdc25a, Mcm6, Pola2, Rpa1, Pa2g4, Nasp, Spc24, Ube2s, Eif2s1, Lsm8, Tcf19, Kif22, Rfc2, Bard1, Rad51ap1, Tmpo, Mcm5, Ran, Lmnb1, Mthfd2, Exosc8, Melk, Mcm7, Racgap1, Birc5, Hmgb2, Ubr7, Rpa3, Nbn, Stmn1, Brca1, Mms22l, Rad1, H2az1, Rnaseh2a, Gins1, Tra2b, Aurka, Timeless, Lyar, Spc25, Gins3, Cdca8, Msh2, Rbbp7, Pole, Nap1l1, Nop56, Prps1, Ssrp1, Dek, Dnmt1, Usp1, Trp53, Top2a, Pms2, Aurkb, Cks2, Dctpp1, Plk4, Cdc25b, Kif2c, Tubb5, Zw10, Cenpm, Plk1, Rad51c, Shmt1, Cnot9, Ezh2, Smc6, Cdkn1b, Asf1b, Cdc20, Prim2, Cdkn1a, Rad21, Mlh1, Orc6, Smc4, Spag5, Xrcc6, Ppp1r8, Ipo7, Ncapd2, Trip13, Depdc1a, Mre11a, Rad50, Cdk4","CombovsBMS","Ribo_vs_DMSO"
"4","HALLMARK_MYC_TARGETS_V2",0.000621246634914061,0.00776558293642576,-0.780777590580536,-1.94098902655703,2,57,"Ung, Nop16, Srm, Mcm4, Mrto4, Pus1, Pa2g4, Exosc5, Grwd1, Rrp9, Mcm5, Ndufaf4, Tcof1, Pes1, Nop56, Ppan, Rabepk, Slc29a2, Hk2, Dctpp1, Plk4, Noc4l, Mybbp1a, Plk1, Sord, Npm1, Utp20, Farsa, Mphosph10, Nip7, Nop2, Gnl3, Hspd1, Cbx3, Cdk4, Nolc1, Hspe1, Dusp2, Slc19a1, Tmem97, Pprc1","CombovsBMS","Ribo_vs_DMSO"
"5","HALLMARK_ALLOGRAFT_REJECTION",0.0022927015666794,0.022927015666794,-0.605105718884183,-1.73003250148955,11,185,"Tnf, Lck, Il10, Ltb, Il1b, Hdac9, Itgal, Il18rap, Psmb10, Tap2, Prf1, Rps9, Eif3d, Tlr2, Brca1, Ccl5, Rpl9, Rps3a1, Mrpl3, Tap1, Dyrk3, Ly86, Tgfb2, Npm1, Lyn, Tlr1, Eif5a, Cd40, Ptpn6, Prkcb, Akt1, Ifngr1, H2-DMa, Bcat1, Fgr, Hcls1, Gzma, Ncr1, Icam1, Cxcl9, Ifngr2, Bcl10, B2m, Tlr3, Ptprc, Cdkn2a, Spi1, Cxcl13, Ncf4, Ccr5, Cd86, Il16, Cd4, Bcl3, Gcnt1, Il2rb","CombovsBMS","Ribo_vs_DMSO"
"6","HALLMARK_MTORC1_SIGNALING",0.00307219662058372,0.0256016385048643,-0.582393992145478,-1.66615891475616,15,193,"Ung, Tuba4a, Rrm2, Me1, Ldlr, Aldoa, Mcm2, Phgdh, Gsr, Mcm4, Slc1a5, Ddx39a, Tomm40, Psmd14, Hspa9, Hmbs, Nampt, Cdc25a, Sla, Sec11a, Fkbp2, Rpa1, Psmc2, Shmt2, Psmd12, Rrp9, Slc37a4, Eef1e1, Got1, Mthfd2, Nufip1, Dhfr, Eif2s2, Psmd13, Atp6v1d, Stard4, Pgm1, Ldha, Ppia, Insig1, Fads1, Aurka, Ccng1, Actr3, Psma4, Ebp, Pdap1, Nfkbib, Cyp51, Hmgcs1, Hk2, Ube2d3, Pno1, Psma3, Psmc6, Pnp, Etf1, Tpi1, Sc5d, Psmc4, Plk1, Sord, Pgk1, Psmb5, Arpc5l, Qdpr, Trib3, Mthfd2l, Cops5, Cdkn1a, Idi1, Rpn1, Vldlr, Bcat1, Gtf2h1, Gpi1, Hspd1, Sytl2, Cct6a, Hspe1, Asns, Ccnf, Tubg1, Hmgcr, Dhcr24, Tmem97, Dapp1, Polr3g, Gmps","CombovsBMS","Ribo_vs_DMSO"
"7","HALLMARK_MITOTIC_SPINDLE",0.00419551080344032,0.029967934310288,0.465589828750148,1.45221026497647,19,199,"Taok2, Bcr, Kif1b, Sptan1, Fgd6, Arhgef12, Dynll2, Bcl2l11, Clasp1, Dync1h1, Rasal2, Cdc42bpa, Dock4, Ophn1, Trio, Arhgef11, Csnk1d, Als2, Myh10, Hdac6, Arhgef7, Rapgef6, Sos1, Wasf1, Myo9b, Sptbn1, Clip2, Tsc1, Flnb, Apc, Rictor, Tbcd, Tubd1, Hook3, Mark4, Akap13, Tiam1, Cttn, Kif3b, Arfgef1, Ccdc88a, Klc1, Flna, Farp1, Llgl1, Stau1, Cep192, Stk38l, Kif3c, Mapre1, Pkd2, Prex1, Arl8a, Espl1, Ssh2, Wasl, Notch2, Vcl, Nf1, Rabgap1, Actn4, Dst, Itsn1, Gemin4, Pxn, Numa1, Cep131, Arhgap29, Abl1, Arfip2, Nck2, Cdc42ep4, Rab3gap1","CombovsBMS","Ribo_vs_DMSO"
"8","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00534963698891861,0.0334352311807413,-0.575656088836378,-1.6458342935574,27,185,"Samd9l, Ifi44, Gpr18, Cxcl10, Ifit3, Pim1, Parp12, Nmi, Psmb10, Nampt, Casp7, Irf1, Psme2, Rsad2, Bpgm, Psmb9, Fpr1, Psmb2, Pml, Cd274, Mthfd2, Irf9, Eif4e3, Ly6e, Ccl5, Plscr1, Psmb8, Tnfsf10, Gbp3, Lap3, Nfkbia, Herc6, Slamf7, Ifit2, Rtp4, Ptpn2, Ifih1, Oasl1, Casp8, Tap1, Psma3, Pnp, Psma2, Cmpk2, Upp1, Cd40, Ifi27, Ifi35, Ptpn6, Marchf1, Cdkn1a, Ifitm2, Psme1, Ddx60, Xaf1, H2-DMa, Dhx58, Ifitm3, Epsti1, Gzma, Nfkb1, Icam1, Cxcl9, Vcam1, B2m, Socs3, Usp18, Ube2l6, Il15ra, Isg15, Slc25a28, Irf2, Casp4, Myd88, Cd86, Ifi44l, Oas2, Fgl2, Fcgr1, Il2rb, Ciita, Tnfaip3, Mx2, Rnf213, Zbp1, Parp14, Oas3, P2ry14, Ifnar2, Isg20, Vamp8, Sp110, Bst2, Mvp, Ccl7, Gch1, Sod2, Pla2g4a, Lats2, C1s1, Vamp5, Il7, Il10ra, Bank1, Tapbp","CombovsBMS","Ribo_vs_DMSO"
"9","HALLMARK_G2M_CHECKPOINT",0.00614203454894434,0.0341224141608019,-0.562574866470583,-1.61195337927784,31,195,"Cdc6, Gins2, Mcm3, Chek1, E2f1, Mcm2, Cdkn2c, E2f2, Pbk, Cdk1, Mybl2, Hnrnpd, Slc7a1, Ddx39a, Cdc45, Lbr, Exo1, Mnat1, Rpa2, Cdc25a, Mcm6, Pola2, Rbl1, Hira, Nasp, Ube2s, Chaf1a, Kif22, Bard1, Tmpo, Pml, Katna1, Mcm5, Lmnb1, Ndc80, Sap30, Fbxo5, Racgap1, Birc5, Stmn1, H2az1, Tra2b, Aurka, Snrpd1, Incenp, Map3k20, Uck2, Dmd, Ube2c, Pole, Meis1, Dtymk, Dbf4, Kif15, Tfdp1, Top2a, Aurkb, Cks2, Tle3, Plk4, Cdc25b, Kif2c, Kmt5a, Plk1, H2az2, Ezh2, Cdkn1b, Cdc20, Prim2, Arid4a, Rad21, Orc5, Ccna2, Orc6, Smc4, Dkc1, Kif11, Cdk4, Nusap1, Rad54l, Srsf2, Cenpa, Pura, Nolc1, Smc2, Troap, Nek2, Ccnf","CombovsBMS","Ribo_vs_DMSO"
"10","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0107485604606526,0.0496480309236307,-0.54469517115335,-1.56072244628595,55,195,"G0s2, Tnf, Il1b, Cxcl10, Ldlr, Tnfaip8, Trip10, Nampt, Irf1, Tlr2, Ccl5, Bcl2a1d, Fut4, Tgif1, Nfkbia, Birc3, Ifit2, Hes1, Ifih1, Btg3, Tap1, Nfe2l2, Tnfsf9, Eif1, Maff, Trib1, Klf9, Klf10, Cdkn1a, Ccrl2, Nr4a1, Zc3h12a, Nfkb1, Nfkbie, Icam1, Ifngr2, Slc2a6, Socs3, Il15ra, Dusp2, Cd83, Dusp5, Cxcl2, Serpinb8, Id2, Cebpd, Bcl3, Ninj1, Tnfaip3, Spsb1, Il23a, Msc, Relb, Rela, Slc2a3, Pfkfb3","CombovsBMS","Ribo_vs_DMSO"
